Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,AverageTrainReturn_all_train_tasks,AverageReturn_all_train_tasks,AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.0033416362,0.002705635,49.151783,4.9151783,63.844147,28.59198,-5.3129773,0.0007235067,0.0017168546,0.0068439175,-0.005810329,0.002729685,0.001638412,0.008463531,-0.0037431114,-5.333045,0.6270863,-3.1337185,-7.1855135,6.3373604e-06,0.0012981112,0.004287378,-0.0033843862,0.000431134,0.0015589974,0.0060482942,-0.004516664,0.011167076,0.10815785,182.25367149454658,183.0953542443171,182.80902503264093,4000,13513,0,189.31608142051846,0,24.690822571516037,214.0069039920345,254.71283405367285,0
0.01684179,0.40897432,2.6672604,0.26672605,48.541546,11.438004,-64.82371,60.329353,9.672326,80.289375,-14.722868,65.02467,5.491479,78.87621,17.061909,-3.478652,1.5634123,2.769184,-12.321916,0.011747112,0.28886,1.4978548,-1.1474707,-0.67950374,0.13413109,-0.1384573,-1.102561,0.018437216,0.13235904,163.9394003669226,167.99788770808155,167.92855313389612,8000,19103,0,197.18473006412387,40.709978049620986,11.694559302181005,249.58926741592586,506.49606805387884,1
0.021957861,0.3647839,3.6944854,0.36944854,66.39303,15.0690365,-112.64762,108.58617,13.290094,138.72314,-3.902682,113.40307,7.8223004,132.52228,28.657434,-3.3148003,1.6061239,3.6292422,-8.352858,-0.02570033,0.35100508,1.7130448,-1.4741969,-0.64237714,0.14701106,-0.17494789,-1.4299054,0.042502336,0.1546146,174.6386403540956,175.80160141411622,177.725306602531,12000,24834,0,199.31441909912974,42.90362036693841,12.13878804538399,254.35682751145214,761.683182795532,2
0.054853242,0.4670201,2.0723648,0.20723648,26.492447,13.584862,-145.6524,139.64694,16.242521,160.74876,-9.420009,145.97447,9.713684,162.91556,0.08254445,-3.2282176,1.7818829,5.1794477,-9.553816,-0.016469784,0.32984397,1.5041605,-2.100461,-0.68335485,0.16695304,-0.24127866,-1.8628051,0.03354647,0.09327617,186.5759809132091,185.31891843502407,185.46968584027434,16000,30429,0,191.77286809310317,43.73422733973712,12.209224805235863,247.71632023807615,1006.4076543524861,3
0.04452923,0.28831467,5.1563473,0.5156347,36.662292,15.083556,-174.31035,168.28047,18.197584,190.57187,-41.064537,174.44427,11.904181,191.16328,24.954523,-3.4293988,1.7644749,8.210362,-11.259122,-0.0059775393,0.29986426,1.9982762,-1.4983032,-0.6630235,0.18220496,-0.177203,-2.0982442,0.020133095,0.13250807,188.7160252248485,187.5494690938238,190.59093867218309,20000,36009,0,193.84459066949785,40.74209949467331,10.90419153869152,245.49088170286268,1253.3459490174428,4
0.02773789,0.43900594,2.603472,0.26034722,33.544308,12.877714,-197.59213,191.64737,20.85306,212.32832,-30.024586,197.15178,11.456538,217.65147,27.72337,-3.4707103,1.852296,10.106612,-9.981627,-0.0035501043,0.29122674,2.474391,-1.6063374,-0.68407625,0.17272381,-0.24452132,-1.9823828,0.02344383,0.11395745,189.8308224426894,188.6294725241102,190.82163654686758,24000,41656,0,195.70395343843848,42.18968430068344,12.136543799191713,250.03018153831363,1505.307550032623,5
0.029396351,0.37849748,3.4105024,0.34105024,29.594688,10.915035,-219.3684,216.06082,18.338116,235.1577,-3.5266917,219.73769,9.114963,233.59648,109.47638,-3.3748035,1.7776481,10.975828,-8.780153,-0.016737536,0.25999567,1.4479913,-1.5398023,-0.7077039,0.16656809,-0.2690275,-2.1818078,0.5437485,0.09294512,174.34935948957875,174.93372301258512,173.94822084674698,28000,47214,0,191.20513167325407,44.12200509291142,12.717935257591307,248.0450720237568,1748.2212364031002,6
0.23530848,0.2372357,8.458378,0.8458378,43.159256,26.603367,-237.71555,233.7143,17.570929,254.1035,-1.0251226,240.85654,9.380217,260.82288,118.11181,-3.3392506,1.7235719,7.5417633,-11.914823,-0.0030276314,0.25289378,1.5823148,-1.585957,-0.71933514,0.15502787,-0.2829157,-2.0258622,0.9069789,0.09015101,191.11052191137188,160.88287697238073,164.77211115137936,32000,52794,0,189.11347581725568,38.990994388237596,11.80472319573164,239.9091934012249,1993.969547957182,7
0.7747854,0.1394497,13.339203,1.3339204,55.720444,17.935171,-251.09703,246.98425,18.595566,276.19678,-39.152023,251.58707,12.183714,276.00012,98.50713,-3.4139657,1.6741098,11.399237,-10.072415,-0.036401186,0.23127186,2.3380282,-2.0518475,-0.7261498,0.13103266,-0.23340368,-1.8585699,1.0020463,0.088887684,184.9917679777238,180.6231418635047,176.77419643442062,36000,57962,0,201.08216332271695,44.83037910051644,10.774594904854894,256.6871373280883,2249.7142076278105,8
0.03362779,0.12519483,13.569749,1.356975,83.95238,24.10355,-264.08014,260.17648,22.287745,324.98892,-5.419168,264.82806,18.334547,320.1005,70.58459,-3.1706142,1.9325073,13.403091,-9.511992,-0.012177879,0.25123382,2.3734965,-2.2491245,-0.7735512,0.14332445,-0.32777324,-1.8677077,1.0754629,0.09739528,172.70008541219806,147.7635133201609,149.74884483012823,40000,63207,0,203.9059153003618,43.88717578165233,11.475256394594908,259.26834747660905,2506.453508269042,9
0.14776729,0.16079943,17.510958,1.7510958,79.67737,20.454388,-279.4166,276.8412,25.366327,330.35986,-14.728622,280.46576,18.180243,320.26605,65.17003,-3.0021083,1.8698132,11.41025,-9.419281,-0.00325546,0.26780868,2.1478517,-2.3137782,-0.7831694,0.13762097,-0.36276352,-1.9147153,0.67093486,0.059163272,164.20233652974326,175.65438125886376,177.88429601362043,44000,68552,0,190.4663174590096,41.358586920425296,10.8765366114676,242.70144099090248,2747.6146175796166,10
0.47702894,0.158818,21.388199,2.13882,78.381,22.971025,-301.94077,297.14587,20.831055,340.58047,38.29615,302.5369,16.465998,341.53302,70.41055,-3.0731702,1.7883202,9.623522,-10.789808,0.029393876,0.27064553,2.1531725,-1.6830388,-0.77709067,0.1317383,-0.20344427,-1.761658,0.2698378,0.06270517,162.40790935298082,162.9096330751962,148.70916900557881,48000,73649,0,201.8626484842971,39.818433969281614,11.363852756097913,253.04493520967662,3002.4027882236987,11
