Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,AverageTrainReturn_all_train_tasks,AverageReturn_all_train_tasks,AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.0033508763,0.0069458755,99.41568,9.941568,15.988225,4.17323,-2.0250077,-0.00260706,0.0022810323,0.0047888113,-0.008553218,-0.00036966603,0.0011921865,0.0030809427,-0.003974559,-4.0190573,0.5331397,-1.9784739,-5.8322926,-0.0002810579,0.002458845,0.007208759,-0.005120683,3.0507412e-05,0.0023887986,0.0052609257,-0.006351651,0.75233877,0.15320395,148.91209097942513,172.73117852555063,168.87530824516506,4000,205544,0,251.44131562113762,0,320.6437380518764,572.085053673014,591.6758908741176,0
0.3623019,0.5355445,19.331842,1.9331843,249.3916,33.518,-155.9534,136.1666,52.131317,246.15872,-25.986177,157.75264,38.410812,260.02557,-14.071433,3.441927,4.5694327,19.638443,-8.846492,0.8589195,0.9541903,3.3002434,-2.9090424,-0.68330425,0.30583042,0.2509675,-1.8052136,0.7557024,0.01855512,121.45380620647074,125.66966581111997,124.53263648318311,8000,210998,0,243.48667573183775,19.59382724761963,8.34456948377192,271.4250724632293,860.5838178927079,1
0.669566,0.08435129,64.10585,6.410585,673.9274,145.54451,-271.1541,240.99983,98.431305,405.4527,-41.62514,265.3795,70.5102,403.20538,-25.530603,1.5650256,5.734293,27.44877,-9.256111,0.58125293,0.9991241,3.664062,-3.4164853,-0.5043684,0.30198509,0.24446061,-2.0913935,0.7561749,0.014638023,103.89104649074905,113.19850705371535,109.37560158763054,12000,216289,0,249.22186534758657,17.076089306734502,7.737305729649961,274.03526038397104,1137.1404668204486,2
1.1224968,0.030842405,84.272125,8.427213,1245.6403,902.24365,-375.08777,330.7911,137.08536,545.63776,-51.476315,388.4668,76.724144,520.70966,-30.3494,2.7823052,6.2021065,38.98127,-9.609081,0.63484776,1.0842509,6.731548,-4.0751934,-0.6357925,0.36276862,0.1851125,-2.3102512,0.49405628,0.00821867,108.60785322348231,90.18893062922737,49.25416124565712,16000,221731,0,246.12940224446356,19.59820758830756,8.494362944737077,274.2219727775082,1409.8998758364469,3
1.057746,0.023410339,91.92244,9.192245,1568.541,188.93382,-421.47745,381.20868,156.71753,589.3505,-25.73206,420.7176,112.49353,590.5515,-23.527489,2.3122766,5.7144566,32.19555,-8.54135,0.5561195,1.0574669,4.298419,-6.1400394,-0.6258536,0.36356744,0.4584031,-2.613134,0.39369386,0.0069452645,120.3597622851892,99.32284067575027,68.76443278871257,20000,227268,0,246.79542986676097,18.135084993205965,7.82664786092937,272.7571627208963,1682.5748365037143,4
1.0018222,0.0742885,94.9386,9.49386,1369.2389,532.3086,-456.98166,407.5484,163.217,646.8584,-62.476246,443.08545,114.7273,656.9671,-26.253418,2.359098,5.415418,32.284214,-9.504505,0.67517155,1.0103229,5.2409534,-5.8480763,-0.60756665,0.34475765,0.26648843,-2.589818,0.50940096,0.006772819,91.30109710311277,76.02044494473994,104.06311070657014,24000,232547,0,247.93468950036913,18.052913329564035,7.713056242093444,273.7006590720266,1958.4068143917248,5
0.7404378,0.019474085,101.47247,10.147247,1063.6398,231.1394,-515.0371,458.3041,199.09167,685.3059,-60.845448,513.13855,142.09055,701.18713,-24.951963,3.2578685,5.4793425,36.86058,-8.444072,0.69403064,1.0763375,5.348914,-8.737293,-0.6944551,0.37691543,0.26880074,-2.6505325,0.56385726,0.005800109,108.57031065459992,84.67955778312184,165.30034382464405,28000,238057,0,243.14252606686205,20.1855957377702,8.161858131177723,271.48997993580997,2230.1095219599083,6
0.6377058,0.026343623,115.58609,11.558609,2097.1309,313.88266,-503.64038,460.13556,199.77315,777.639,-59.00228,502.42578,160.57008,792.91205,-47.73944,2.7071254,5.180406,42.769295,-8.50206,0.60601884,1.0744756,5.945169,-5.756999,-0.65926796,0.37645063,0.33035645,-3.1813898,0.5149539,0.0030379877,142.27523044273607,150.8651882663654,79.12918877924261,32000,243825,0,250.72758569475263,20.39843867532909,9.306189903989434,280.43221427407116,2507.4944559000432,7
0.7923237,0.008106401,130.87453,13.087453,1800.1416,466.49512,-669.91754,598.94006,246.039,870.0321,-60.454536,676.41815,168.0883,879.4081,-20.932922,2.9764838,5.4365788,56.745228,-10.135942,0.4234284,1.1381066,8.650756,-6.6045384,-0.77669346,0.42171595,0.6420244,-2.7905076,0.741364,0.0030669444,116.34652965492128,180.88680719626353,150.74198929248166,36000,249353,0,243.73585570044816,17.351399618200958,7.888510063290596,268.9757653819397,2779.5231310380623,8
1.3376206,0.011301638,113.64346,11.3643465,1554.1848,435.48615,-564.3357,516.6234,214.4761,867.6693,-41.750317,558.4957,171.16364,874.6153,-38.156082,2.3305366,5.5006313,42.321747,-9.622754,0.45930627,1.1197417,6.424551,-11.665797,-0.6563757,0.38432616,1.1580558,-2.8198736,0.574271,0.0010007025,136.75490996678386,78.60971439086015,66.03856443050798,40000,254829,0,255.66639389283955,20.403415015898645,7.812207270413637,283.88201617915183,3060.886409677565,9
