Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,AverageTrainReturn_all_train_tasks,AverageReturn_all_train_tasks,AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.004219,0.006924131,99.491875,9.949187,18.739548,4.090216,-2.0025938,0.004160299,0.0027337517,0.010250583,-0.0035820338,-0.002267975,0.0013226244,0.0022462364,-0.00675809,-4.012555,0.5321264,-2.2810977,-5.8439817,-0.0005612629,0.0020649452,0.004267902,-0.00544024,3.886098e-05,0.001732886,0.0043624877,-0.0050523896,1.1037924,0.09863465,121.30425489099407,157.0257432220548,112.48274494145639,4000,205590,0,183.43409967049956,0,209.03811828792095,392.4722179584205,407.90012103971094,0
0.39352578,0.38207954,29.779007,2.9779007,260.01495,72.93707,-157.84087,134.21394,55.102066,214.57333,-22.712116,163.74445,36.259636,241.25934,-12.073113,2.9673645,4.5066347,20.15923,-7.8556876,0.9223063,0.8646519,3.391905,-2.8723366,-0.61989236,0.2608085,0.15498519,-1.5624479,0.7666169,0.020566288,81.36825677086061,123.89229667578415,136.12171288387302,8000,211235,0,172.6239632498473,15.430513892322779,6.611761439591646,194.66623858176172,602.7684816149995,1
1.0846789,0.09077255,69.44859,6.9448595,514.35284,130.45007,-290.84097,257.62323,104.259895,381.2344,-26.556503,293.42276,71.84863,384.09167,-27.14153,2.3457546,5.3350205,25.028795,-7.992309,0.6343779,1.0464185,4.013181,-3.875021,-0.5660326,0.26528952,0.22520843,-1.9551282,1.7181368,0.02088059,166.74102842016055,117.2731070286344,129.94355377433456,12000,217203,0,178.47133035957813,15.63259054068476,7.602542096748948,201.70646299701184,799.7006525630131,2
1.0982368,0.041687727,73.603714,7.3603716,485.91986,134.58385,-327.70993,294.11237,121.79432,438.34003,-34.659565,328.4881,83.77333,452.23502,-11.285578,2.4495864,5.745747,27.591993,-9.057878,0.6646192,1.0401893,4.0680866,-3.5179298,-0.57161194,0.30823278,0.312697,-2.343073,0.76625293,0.007821678,114.78730574611862,111.98100678260907,128.48354261457013,16000,222520,0,177.96643492300063,10.8583166571334,3.9583147186785936,192.78306629881263,997.0609029084444,3
1.4096825,0.0629705,92.86636,9.286636,762.06396,502.20782,-422.2871,376.26517,153.93817,525.60345,-52.324806,413.84027,111.16738,537.1604,-28.173584,2.7856948,5.050001,34.59439,-10.30975,0.44222853,1.1761096,4.421782,-7.9964147,-0.5918884,0.33364263,0.36412552,-2.4261067,1.4173906,0.006857292,120.15738075469628,131.92293668802856,106.02943782891091,20000,227997,0,176.48017825558782,15.435622866265476,6.49568675737828,198.41148787923157,1190.428205342032,4
0.7059893,0.04083047,108.81883,10.881884,1458.9324,581.29803,-472.9706,420.88837,173.24513,579.0373,-42.360767,462.17462,120.86457,589.6409,-26.521454,3.0556476,5.7664185,32.08364,-7.944399,0.539809,1.1552118,4.497481,-7.942069,-0.6539449,0.38842022,0.23478378,-2.7696676,1.0824373,0.0046478966,95.42593869886204,99.38189151731913,112.7306064106677,24000,233647,0,183.59895240888,10.391368564218283,4.0840276554226875,198.07434862852097,1392.1408086968586,5
0.6442849,0.009327987,105.32715,10.532715,1350.4208,205.23238,-509.19775,445.49252,191.58473,602.40985,-108.80272,507.2282,120.95832,615.99384,-28.84088,2.580386,5.296539,33.5407,-8.8493595,0.47088555,1.1149096,4.8984294,-7.3928423,-0.66236407,0.38805825,0.21441987,-2.7858615,1.981218,0.0070012375,88.24679360355852,125.78085618014238,121.57485681706741,28000,239000,0,174.39353389572352,14.029672870412469,5.840534902177751,194.26374166831374,1583.3126191738993,6
1.5863955,0.015263125,120.409935,12.040994,750.7241,362.37473,-515.07806,464.014,209.622,688.8096,-71.79713,519.1829,163.54616,707.76227,-37.345055,3.1398501,5.232589,32.70619,-10.131972,0.6452382,1.0816394,4.146655,-7.40613,-0.70028347,0.37190413,0.15785551,-2.7031827,1.1785158,0.0032514695,115.25359826718451,134.9328654039148,146.82427621047918,32000,244358,0,183.03505005128682,10.938095046207309,5.951341819949448,199.92448691744357,1786.4026692295447,7
0.82644904,0.014336109,134.25371,13.425371,922.9102,306.9137,-512.3907,471.3356,212.51546,765.2759,-50.6052,510.80844,173.51736,760.34235,-56.201756,3.5687478,5.3981023,31.125454,-6.924945,0.6246674,1.1627233,4.758015,-4.4559846,-0.711804,0.37440446,0.2254898,-2.9005086,0.91148394,0.002252773,70.82575161308692,15.641101086428932,70.92531449880657,36000,249742,0,173.2353766169399,14.103445953689516,5.005802322179079,192.3446248928085,1978.9330515200272,8
0.6232883,0.021662775,138.2361,13.82361,1256.3367,325.81006,-605.33765,561.4817,228.8116,919.1809,-45.976852,609.83276,184.35608,924.8663,-32.90311,3.576365,5.9721537,37.21772,-9.306221,0.6245598,1.1632714,6.077891,-8.547842,-0.7191868,0.36352772,0.4280961,-3.4064834,0.7171151,0.0016769187,80.24303551148513,97.27555065653722,112.24562110091861,40000,255079,0,179.9101970391348,14.289287470281124,7.411129643209279,201.6106141526252,2177.4003285439685,9
