Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,AverageTrainReturn_all_train_tasks,AverageReturn_all_train_tasks,AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.0035689562,0.0027083,49.142532,4.914253,52.044342,28.879078,-5.335117,0.005827537,0.002273991,0.01433204,0.00037678366,-0.0042589367,0.0018669198,0.0007167221,-0.01064618,-5.3639283,0.60825616,-2.9701324,-8.774452,-0.00047490612,0.0016075507,0.003642296,-0.005633749,0.0005684588,0.001735973,0.005059025,-0.0044338,0.014125568,0.017209653,165.39120296830038,158.54138158178307,163.17504905400213,4000,9579,0,195.46557942498475,0,20.571241446770728,216.03682087175548,243.32358129136264,0
0.014344608,0.04077962,22.421597,2.2421596,114.015274,28.618454,-86.879395,81.24144,16.727568,130.95955,0.80929196,85.03183,13.701943,124.771736,13.687249,-2.0403452,1.7992934,2.0008492,-10.547284,-0.0016951045,0.38689962,1.687918,-1.5319479,-0.86878073,0.15085678,-0.14947146,-1.3040235,0.10053066,0.09033576,73.14845367978951,94.37692503938428,100.42949846863847,8000,15428,0,195.86530522909015,27.29008231125772,13.177258390001953,236.33264593034983,481.72335177939385,1
0.10478928,0.26415917,6.029315,0.6029315,154.56131,47.566376,-132.46664,130.05692,21.965122,181.59047,-21.12849,135.71063,17.980104,185.33176,2.4372196,-2.084537,2.094646,5.9836316,-10.086256,0.007683461,0.5167344,2.3861084,-1.8642375,-0.7405509,0.14349906,-0.26702335,-1.3737409,0.1432793,0.05266378,140.73205648365231,153.55570519524963,139.79302119077556,12000,20892,0,186.94069637544453,29.35732253268361,12.48287385609001,228.78089276421815,705.9628842696548,2
0.064426176,0.10490505,13.298983,1.3298982,111.16011,34.59779,-158.11305,151.569,23.976534,211.3735,-27.590813,158.3692,18.376358,205.83145,12.222512,-2.2603617,2.167394,9.069655,-10.467854,0.007655344,0.47341564,2.391967,-1.9749067,-0.7457087,0.15866168,-0.19634897,-1.707566,0.63710463,0.050267078,166.88726736332325,170.59869639393332,159.71778263524817,16000,26828,0,193.20415234472603,24.816196703352034,11.770062337629497,229.79041138570756,937.225867533125,3
0.33592469,0.090899035,17.622053,1.7622054,101.06781,40.7483,-183.34914,179.03526,26.34386,243.7567,-13.780635,185.52542,19.745977,243.31383,70.197334,-2.3164415,2.0936317,7.065796,-11.22407,0.020648029,0.4530533,1.8979205,-1.9195983,-0.7554574,0.17504296,-0.17892362,-1.9569327,0.48542184,0.032175727,160.97654834303978,173.21856886215687,159.26520740491134,20000,32548,0,196.58345664292574,26.28927591536194,12.518966559320688,235.39169911760837,1173.7998360814527,4
0.15617906,0.047860265,22.67229,2.267229,183.50455,30.246716,-197.33315,194.11655,26.798231,263.4204,-1.741819,197.74864,21.56343,268.54178,50.029,-2.401052,2.1368723,13.973981,-9.050804,-0.012866634,0.42527986,1.9965781,-2.2783415,-0.7737248,0.17022444,-0.17192023,-2.065724,0.5871128,0.03773915,175.34639922246646,174.37003238347825,173.1055823283537,24000,38173,0,195.23249931354076,27.47071664966643,12.474693747237325,235.1779097104445,1407.4870643215254,5
0.55121845,0.041309427,32.0965,3.20965,343.64636,78.37463,-216.21718,214.23718,30.23272,292.06747,-28.052286,217.5833,24.651508,284.05975,65.179504,-2.4298224,2.0767248,11.845505,-8.188006,0.03308305,0.4291683,2.3115885,-1.9758964,-0.76074624,0.17059001,-0.10514014,-2.216397,0.60215396,0.036269195,167.37902809158516,139.27924833642618,132.88223298558222,28000,43461,0,185.7215597871691,25.980501412414014,11.274918638169765,222.97697983775288,1631.058066610247,6
0.10143085,0.060121,23.240833,2.3240833,240.01414,42.952057,-230.48141,226.10002,30.781464,290.6602,-40.00624,230.0346,24.37601,284.8518,120.2157,-2.3177931,2.1393237,10.587643,-9.613481,0.015117388,0.4311409,1.8987342,-1.7605361,-0.7974584,0.1697495,-0.10223491,-1.8789726,0.119353995,0.02828233,183.26338241997286,158.8538475356625,154.13058894417668,32000,49024,0,193.4951678114012,26.576908942312002,11.57821120787412,231.6502879615873,1863.7494650343433,7
0.21570297,0.081014566,20.614174,2.0614173,313.85718,37.005394,-249.6506,244.3989,35.123383,309.5878,-43.255493,249.4957,29.147045,311.7311,13.685551,-2.0130448,2.2639291,16.883621,-10.532942,0.0059367283,0.44970933,2.7058554,-2.1920757,-0.8185874,0.18510701,-0.070611,-2.1979501,0.34852713,0.02624617,153.31328643117496,141.67344125074948,144.3817606976205,36000,54594,0,197.61627129558474,27.615652564913034,12.913633071817458,238.14555693231523,2101.6384965106845,8
0.3626135,0.086300336,28.67621,2.8676212,122.91025,29.954937,-265.08417,262.28012,33.655403,334.60388,-12.145152,266.53308,29.611294,338.5481,111.12231,-2.1666923,2.0347595,10.852303,-9.641474,-0.015422799,0.4294051,2.010422,-1.8526905,-0.81339455,0.16298017,-0.15543042,-2.008304,0.23401193,0.02850661,158.68192313184954,151.1506862374665,132.96295422879166,40000,60145,0,188.67723773699254,27.35902016237378,12.489970833994448,228.52622873336077,2326.9058588296175,9
0.5791627,0.060392916,27.166435,2.7166436,120.05868,30.83257,-275.90753,270.5108,36.428467,347.21387,-37.033405,275.85553,29.871998,350.4605,92.018524,-2.1528602,2.0971491,14.120582,-8.724316,0.040097155,0.423793,2.2460132,-1.7065774,-0.83330154,0.17569251,-0.15743905,-2.1656547,0.28515106,0.025602842,169.0230068531003,184.78693434254575,156.21534909528577,44000,65988,0,194.86634344421327,24.100619465112686,11.557669246569276,230.52463215589523,2560.0522877946496,10
0.69495046,0.06076479,29.737623,2.9737623,141.51321,50.706257,-295.41577,290.24612,35.154305,372.14868,27.417433,291.64673,32.3254,374.76804,117.58051,-2.149663,2.027785,12.0716505,-9.903332,0.055666376,0.41859326,1.8192735,-1.6772716,-0.83454746,0.17007959,-0.1607168,-2.1489508,0.15494126,0.02832986,170.24595225793456,156.24983597093052,138.57761516339184,48000,71440,0,200.58560732752085,26.721731146797538,11.82245116867125,239.12978964298964,2799.271636839956,11
0.4703578,0.062181853,25.375643,2.5375643,127.53197,45.410378,-294.69464,290.49393,38.187286,374.1158,7.2383747,294.13562,33.4447,372.47394,96.203514,-2.2313108,2.0906296,13.059144,-11.546419,-0.010084134,0.40808338,2.1904576,-1.9148387,-0.8249602,0.17078838,-0.07856852,-2.0509562,0.3718547,0.032201476,196.58770241972388,201.85549091126364,161.52013263837472,52000,76947,0,195.1654223287478,26.811850450001657,12.349227130413055,234.32649990916252,3032.3513329066336,12
0.22698495,0.08085166,34.51646,3.451646,172.66458,40.65262,-315.62305,312.85156,50.10913,416.05994,-8.347902,316.28638,41.673153,410.38766,143.96826,-2.0078132,2.035554,10.525266,-9.700066,0.032147173,0.4135119,1.8825779,-2.10943,-0.8518028,0.17464079,-0.16970877,-2.2198985,0.07793369,0.033190787,182.38509458924284,207.37412559575216,158.8102373370988,56000,82249,0,179.32922305632383,25.564894454553723,11.188817234709859,216.0829347455874,3246.0233690477908,13
0.15401009,0.07597397,20.21546,2.0215461,198.22003,49.336292,-295.08087,290.3476,40.13683,382.52112,-13.529278,296.10635,36.727642,371.00064,54.64262,-2.0968783,1.94915,12.937235,-8.398485,0.0066526663,0.39152253,2.7721283,-2.2650654,-0.8478688,0.1673381,-0.19111383,-2.012472,0.7276457,0.027568698,246.7030200902429,230.2309733823713,161.87699851062987,60000,87849,0,187.52676793560386,23.15450769942254,10.96175822429359,221.64303385931998,3470.3692863490433,14
0.31340566,0.07048933,20.775229,2.077523,154.16347,48.153984,-306.7128,301.1258,43.32966,390.98148,-33.373604,307.6232,39.508335,384.3024,28.145016,-2.1301336,2.061595,12.810329,-10.559729,0.06224779,0.38444492,2.3982282,-2.0312972,-0.8596382,0.15923539,-0.33885556,-1.9715165,0.6604217,0.030893331,260.1666291829649,254.14073826422396,214.6099800044225,64000,93518,0,187.851925897412,25.85721207316965,12.08604572340846,225.7951836939901,3694.7615279508755,15
0.26546216,0.099194795,23.13779,2.313779,138.56271,36.942307,-320.67392,315.54755,47.176956,424.08218,-64.9213,319.7213,43.87796,414.07697,39.566742,-2.0603414,2.052051,12.903929,-9.407178,0.014919383,0.3969575,2.1962702,-1.7987242,-0.867468,0.15853928,-0.32045114,-2.0587182,0.40025225,0.033069145,216.03152593807738,215.2177009769032,164.99082096779125,68000,98990,0,176.6833708025515,24.45374962966889,10.617341164499521,211.75446159671992,3898.94391051773,16
